confirmed, block.height, block.time, tx.type, tx.sender, tx.receiver,tx.amount, tx.start_time, tx.originator
1, 572, 33808293.00, PREPARE_HTLC,  30083,      0, 2003854, 33744142.26,  30083
1, 573, 33818973.00, CLAIM_HTLC  ,  30083,      0, 2003854, 33808905.24,      0
1, 605, 35990397.00, PREPARE_HTLC,      0,      1, 2030865, 35838231.58,      0
1, 607, 36043704.00, CLAIM_HTLC  ,      0,      1, 2030865, 35991000.46,      1
1, 610, 36353988.00, PREPARE_HTLC,      0,  30078, 2017135, 36270895.76,      0
1, 611, 36439224.00, CLAIM_HTLC  ,      0,  30078, 2017135, 36354584.21,  30078
1, 615, 36747114.00, PREPARE_HTLC,   4272,      0, 2002802, 36723534.86,   4272
1, 616, 36830760.00, CLAIM_HTLC  ,   4272,      0, 2002802, 36747696.79,      0
1, 616, 36830760.00, PREPARE_HTLC,  30082,  30079, 2010301, 36795994.51,  30082
1, 617, 36838305.00, CLAIM_HTLC  ,  30082,  30079, 2010301, 36831338.70,  30079
1, 621, 37064593.00, PREPARE_HTLC,  30081,  30083, 2019953, 37057132.35,  30081
1, 622, 37093611.00, CLAIM_HTLC  ,  30081,  30083, 2019953, 37065176.09,  30083
1, 647, 38342411.00, PREPARE_HTLC,  30079,  30078, 2046601, 38329425.95,  30079
1, 648, 38412425.00, CLAIM_HTLC  ,  30079,  30078, 2046601, 38343012.71,  30078
1, 666, 39760210.00, PREPARE_HTLC,  30083,      0, 2002020, 39712057.46,  30083
1, 668, 39798268.00, CLAIM_HTLC  ,  30083,      0, 2002020, 39760807.45,      0
1, 673, 40536408.00, PREPARE_HTLC,      0,  30078, 2023050, 40389225.11,      0
1, 673, 40536408.00, PREPARE_HTLC,  30088,   4271, 2085601, 40478590.96,  30088
1, 674, 40556737.00, CLAIM_HTLC  ,  30088,   4271, 2085601, 40536991.86,   4271
1, 674, 40556737.00, CLAIM_HTLC  ,      0,  30078, 2023050, 40537042.75,  30078
1, 686, 41144792.00, PREPARE_HTLC,  30080,      0, 2050157, 41121071.91,  30080
1, 687, 41214808.00, CLAIM_HTLC  ,  30080,      0, 2050157, 41145361.91,      0
1, 694, 41744474.00, PREPARE_HTLC,  30084,      0, 2052897, 41622930.79,  30084
1, 695, 41780839.00, CLAIM_HTLC  ,  30084,      0, 2052897, 41745086.73,      0
1, 697, 41903822.00, PREPARE_HTLC,  30081,  30079, 2009060, 41830713.58,  30081
1, 698, 41905138.00, CLAIM_HTLC  ,  30081,  30079, 2009060, 41904422.54,  30079
1, 705, 42543975.00, PREPARE_HTLC,      1,  30078, 2034030, 42532083.20,      1
1, 706, 42603131.00, CLAIM_HTLC  ,      1,  30078, 2034030, 42544565.49,  30078
1, 715, 43150693.00, PREPARE_HTLC,  30095,      1, 2019818, 43104407.82,  30095
1, 716, 43229610.00, CLAIM_HTLC  ,  30095,      1, 2019818, 43151300.96,      1
1, 726, 43699925.00, PREPARE_HTLC,      0,  30078, 2046009, 43671210.89,      0
1, 727, 43784693.00, CLAIM_HTLC  ,      0,  30078, 2046009, 43700515.59,  30078
1, 728, 43815739.00, PREPARE_HTLC,  30089,  30081, 2003165, 43808611.40,  30089
1, 729, 43956814.00, CLAIM_HTLC  ,  30089,  30081, 2003165, 43816329.82,  30081
1, 740, 44742262.00, PREPARE_HTLC,  30083,      0, 2030333, 44617405.33,  30083
1, 740, 44742262.00, PREPARE_HTLC,      1,   4271, 2022157, 44742119.81,      1
1, 741, 44944693.00, CLAIM_HTLC  ,  30083,      0, 2030333, 44742820.34,      0
1, 741, 44944693.00, CLAIM_HTLC  ,      1,   4271, 2022157, 44742873.35,   4271
1, 757, 45963204.00, PREPARE_HTLC,  30097,      1, 2049116, 45933949.24,  30097
1, 758, 46007768.00, CLAIM_HTLC  ,  30097,      1, 2049116, 45963786.05,      1
1, 764, 46313566.00, PREPARE_HTLC,   4273,   4271, 2087198, 46263481.90,   4273
1, 765, 46444655.00, CLAIM_HTLC  ,   4273,   4271, 2087198, 46314189.32,   4271
1, 770, 46680715.00, PREPARE_HTLC,      0,  30078, 2012402, 46679948.02,      0
1, 771, 46711540.00, CLAIM_HTLC  ,      0,  30078, 2012402, 46681299.03,  30078
1, 782, 47384044.00, PREPARE_HTLC,  30079,  30078, 2032172, 47300994.52,  30079
1, 783, 47410964.00, CLAIM_HTLC  ,  30079,  30078, 2032172, 47384634.88,  30078
1, 791, 47822508.00, PREPARE_HTLC,   4271,      0, 2018575, 47750291.78,   4271
1, 792, 48002271.00, CLAIM_HTLC  ,   4271,      0, 2018575, 47823143.08,      0
1, 800, 48567180.00, PREPARE_HTLC,  30084,   4271, 2024106, 48566097.35,  30084
1, 801, 48604609.00, CLAIM_HTLC  ,  30084,   4271, 2024106, 48567756.16,   4271
1, 807, 48823141.00, PREPARE_HTLC,  30090,   4271, 2008269, 48676977.36,  30090
1, 808, 48934998.00, CLAIM_HTLC  ,  30090,   4271, 2008269, 48823782.11,   4271
1, 828, 49961759.00, PREPARE_HTLC,  30083,      0, 2042024, 49911144.93,  30083
1, 829, 50029562.00, CLAIM_HTLC  ,  30083,      0, 2042024, 49962356.96,      0
1, 838, 50680283.00, PREPARE_HTLC,  30092,      0, 2041180, 50575590.35,  30092
1, 839, 50695898.00, CLAIM_HTLC  ,  30092,      0, 2041180, 50680893.58,      0
1, 866, 51969700.00, PREPARE_HTLC,   4272,      0, 2001048, 51932373.43,   4272
1, 867, 51981310.00, CLAIM_HTLC  ,   4272,      0, 2001048, 51970290.43,      0
1, 872, 52339009.00, PREPARE_HTLC,      0,  30078, 2012360, 52312016.76,      0
1, 873, 52382745.00, CLAIM_HTLC  ,      0,  30078, 2012360, 52339597.40,  30078
1, 904, 55458195.00, PREPARE_HTLC,  30080,      0, 2003297, 55320936.29,  30080
1, 905, 55560232.00, CLAIM_HTLC  ,  30080,      0, 2003297, 55458764.95,      0
1, 905, 55560232.00, PREPARE_HTLC,  30079,  30078, 2029076, 55536696.60,  30079
1, 906, 55599282.00, CLAIM_HTLC  ,  30079,  30078, 2029076, 55560825.17,  30078
1, 906, 55599282.00, PREPARE_HTLC,      0,  30078, 2003634, 55560868.07,      0
1, 907, 55685459.00, CLAIM_HTLC  ,      0,  30078, 2003634, 55599903.95,  30078
1, 917, 56168721.00, PREPARE_HTLC,  30083,      0, 2002892, 56148953.19,  30083
1, 918, 56183287.00, CLAIM_HTLC  ,  30083,      0, 2002892, 56169312.10,      0
1, 919, 56311452.00, PREPARE_HTLC,  30081,  30083, 2005298, 56186169.48,  30081
1, 919, 56311452.00, PREPARE_HTLC,  30085,      1, 2009495, 56240646.09,  30085
1, 920, 56320756.00, CLAIM_HTLC  ,  30081,  30083, 2005298, 56312071.37,  30083
1, 920, 56320756.00, CLAIM_HTLC  ,  30085,      1, 2009495, 56312070.88,      1
1, 943, 57532336.00, PREPARE_HTLC,   4273,   4271, 2002486, 57353944.68,   4273
1, 944, 57583332.00, CLAIM_HTLC  ,   4273,   4271, 2002486, 57532955.33,   4271
1, 954, 58088500.00, PREPARE_HTLC,  30087,      0, 2003579, 58075243.70,  30087
1, 955, 58091654.00, CLAIM_HTLC  ,  30087,      0, 2003579, 58089107.15,      0
1, 971, 59693598.00, PREPARE_HTLC,  30083,  30079, 2020987, 59676408.34,  30083
1, 972, 59706270.00, CLAIM_HTLC  ,  30083,  30079, 2020987, 59694193.91,  30079
1, 997, 61115468.00, PREPARE_HTLC,      0,  30078, 2049133, 61044567.32,      0
1, 998, 61186497.00, CLAIM_HTLC  ,      0,  30078, 2049133, 61116030.18,  30078
1, 1025, 62747941.00, PREPARE_HTLC,  30091,      0, 2047035, 62743401.18,  30091
1, 1026, 62784428.00, CLAIM_HTLC  ,  30091,      0, 2047035, 62748529.83,      0
1, 1027, 62832555.00, PREPARE_HTLC,   4272,      0, 2094788, 62813611.63,   4272
1, 1028, 62976887.00, CLAIM_HTLC  ,   4272,      0, 2094788, 62833139.67,      0
1, 1054, 64709028.00, PREPARE_HTLC,  30085,      1, 2066577, 64675186.58,  30085
